DATETIME,TA,RH,VW,ISWR,RSWR,ILWR,TSS,PSUM,HS,TSG
,C,%,M/S,W/M2,W/M2,W/M2,C,MM,MM,C
2020-10-08T14:00:00,12.31,27.38,0.74,0,0,222.5,2.01,424.434,161.036,4.9
2020-10-08T15:00:00,12.94,28.23,0.45,40.34,7.69,228.9,3.61,424.434,160.02,5.06
2020-10-08T16:00:00,14.06,25.36,0.41,119.3,20.01,240.2,7.39,424.434,166.116,6.64
2020-10-08T17:00:00,15.75,20.48,0.35,159,27.33,236.2,9.27,424.434,161.036,8.36
2020-10-08T18:00:00,19.13,19.89,0.58,481.7,53.84,237.3,13.68,424.434,162.052,10.67
2020-10-08T19:00:00,19.88,21.94,0.91,670,55.74,239.9,19.32,424.688,159.004,14.3
2020-10-08T20:00:00,19.65,19.94,1.13,725.3,63.91,244.2,20.92,424.942,161.036,16.63
2020-10-08T21:00:00,20.42,19,1.03,667.7,75.7,243,26.79,425.196,151.892,20.87
2020-10-08T22:00:00,19.11,22.67,1.32,494,57.07,243.4,24.78,425.45,160.02,22.25
2020-10-08T23:00:00,18.43,17.94,0.87,361.4,43.66,251.6,20.79,425.45,159.004,20.29
2020-10-09T00:00:00,17.54,23.85,0.83,178.7,22.02,241,15.67,425.45,160.02,18.24
2020-10-09T01:00:00,16.17,21.27,0.65,60.14,15.08,237.8,11.58,425.45,164.084,15.36
2020-10-09T02:00:00,13.88,20.94,0.57,0,4.36,228.3,6.83,425.196,161.036,12.41
2020-10-09T03:00:00,13.78,18.46,1.03,0,5.38,224.7,5.36,425.196,159.004,10.13
2020-10-09T04:00:00,13.82,19.57,0.88,0,5.25,230.6,4.86,424.942,156.972,9
2020-10-09T05:00:00,13.82,21.68,0.96,0,4.89,235.7,4.69,424.688,160.02,8.36
2020-10-09T06:00:00,14,21.23,1.21,0,4.62,239.9,4.67,424.688,166.116,7.92
2020-10-09T07:00:00,13.43,23.3,1.04,0,4.02,239.6,4.27,424.688,162.052,7.67
2020-10-09T08:00:00,12.89,23.91,1.01,0,3.87,236.9,3.44,424.434,162.052,7.04
2020-10-09T09:00:00,12.08,25.44,0.63,0,3.63,235.4,2.86,424.434,157.988,6.38
2020-10-09T10:00:00,11.63,27.26,0.82,0,3.66,234.8,2.35,424.18,162.052,5.76
2020-10-09T11:00:00,11.29,26.44,0.7,0,0,228.5,1.89,424.18,157.988,5.24
2020-10-09T12:00:00,10.94,26.56,0.68,0,0,227.4,1.58,423.926,161.036,4.78
2020-10-09T13:00:00,11.59,25.72,0.89,0,0,228.2,1.67,423.926,156.972,4.51
2020-10-09T14:00:00,11.33,25.17,0.82,0,0,227.6,1.49,423.672,161.036,4.31
2020-10-09T15:00:00,11.62,23.59,0.79,27,4.48,233.5,2.46,423.672,159.004,4.31
2020-10-09T16:00:00,12.03,26.32,0.54,68.11,10.16,235.7,4.28,423.672,162.052,5.13
2020-10-09T17:00:00,14.51,23.01,0.48,135.2,22.16,237.2,6.67,423.672,159.004,6.3
2020-10-09T18:00:00,17.81,20.41,0.75,473.8,51.13,241.7,12.17,423.926,164.084,9.34
2020-10-09T19:00:00,19.36,19.54,0.62,650.2,53.29,244.4,17.92,423.926,167.894,13.44
2020-10-09T20:00:00,19.3,17,0.63,694.2,60.34,246.4,19.5,424.18,156.972,16.51
2020-10-09T21:00:00,21.08,18.34,0.74,666.3,73.51,248.8,26.57,424.434,150.876,20.87
2020-10-09T22:00:00,21.06,18.22,0.82,573.6,64.3,248.1,27.06,424.688,29.972,23.08
2020-10-09T23:00:00,19.6,20.51,0.74,420.3,39.85,244.1,21.39,424.942,36.068,21.41
2020-10-10T00:00:00,17.9,22.16,0.49,160.4,18.23,239.6,15,424.942,24.892,18.51
2020-10-10T01:00:00,15.43,20.68,0.28,38.87,9.89,235.7,10.34,424.942,44.958,15.18
2020-10-10T02:00:00,13.73,20.88,0.67,0,3.78,233.1,6.28,424.942,50.038,12.01
2020-10-10T03:00:00,13.49,20.3,0.75,0,4.46,235,4.99,424.688,21.082,9.79
2020-10-10T04:00:00,12.82,21.14,0.82,0,4.08,236.3,4.28,424.688,34.036,8.56
2020-10-10T05:00:00,12.79,20.54,0.88,0,4.32,236.5,3.88,424.434,148.082,7.76
2020-10-10T06:00:00,12.21,22.33,0.89,0,3.52,234.4,3.53,424.18,152.019,7.23
